timestamp,problem,best_distance,optimal_distance,gap_percent,improvement_percent,total_time_s,generations,population_size,mutation_prob,crossover_prob,elitism_percent,selection_method,mutation_method,crossover_method,initial_distance,convergence_gen
1767805587.093916,ATT48,15739,10628,48.089951072638314,0.9113199710845947,0.9113404750823975,200,100,0.02,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805588.152288,ATT48,17943,10628,68.82762514113662,1.0583319664001465,1.0583617687225342,200,100,0.02,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805589.1972985,ATT48,18322,10628,72.39367707941288,1.044966697692871,1.0450026988983154,200,100,0.02,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805590.2397203,ATT48,23050,10628,116.8799397817087,1.0423853397369385,1.0424144268035889,200,100,0.02,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805591.2409647,ATT48,24204,10628,127.73805043281897,1.0012099742889404,1.0012381076812744,200,100,0.02,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805592.2427437,ATT48,26402,10628,148.4192698532179,1.001746416091919,1.0017735958099365,200,100,0.02,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805593.2707522,ATT48,14098,10628,32.649604817463306,1.0279765129089355,1.028003215789795,200,100,0.02,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805594.297483,ATT48,13643,10628,28.368460669928492,1.0266990661621094,1.0267260074615479,200,100,0.02,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805595.3294342,ATT48,15190,10628,42.92435077154686,1.0319170951843262,1.0319461822509766,200,100,0.02,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805596.3594847,ATT48,13370,10628,25.799774181407603,1.030017375946045,1.030045509338379,200,100,0.02,1.0,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805597.3906844,ATT48,12925,10628,21.61272111403839,1.0311682224273682,1.0311951637268066,200,100,0.02,1.0,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805598.3265853,ATT48,14556,10628,36.9589762890478,0.9358682632446289,0.9358954429626465,200,100,0.02,1.0,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
1767805599.4203308,ATT48,21134,10628,98.85208882197968,1.0936980247497559,1.0937395095825195,200,100,0.02,1.0,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805600.547995,ATT48,20892,10628,96.57508468197214,1.1276307106018066,1.1276586055755615,200,100,0.02,1.0,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805601.5761936,ATT48,17939,10628,68.78998870907039,1.0281624794006348,1.0281915664672852,200,100,0.02,1.0,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805602.6127558,ATT48,24246,10628,128.1332329695145,1.0365252494812012,1.0365548133850098,200,100,0.02,1.0,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805603.6490912,ATT48,26665,10628,150.8938652615732,1.0362982749938965,1.036327838897705,200,100,0.02,1.0,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805604.686627,ATT48,21689,10628,104.0741437711705,1.0374958515167236,1.0375275611877441,200,100,0.02,1.0,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
